295,-0.999999
296,-0.999999
297,-0.999999
298,-0.999999
299,-0.999999
300,-0.999999
301,-0.999999
302,-0.999999
303,-0.999999
304,-0.999999
305,-0.999999
306,-0.999999
307,-0.999999
308,-0.999999
309,-0.999999
310,-0.999999
311,-0.999999
312,-0.999999
313,-0.999999
314,-0.999999
315,-0.999999
316,-0.999999
317,-0.999999
318,-0.999999
319,-0.999999
320,-0.999999
321,-0.999999
322,-0.999999
323,-0.999999
324,-0.999999
325,-0.999999
326,-0.999999
327,-0.999999
328,-0.999999
329,-0.999999
330,-0.999999
331,-0.999999
332,-0.999999
333,-0.999999
334,-0.999999
335,-0.999999
336,-0.999999
337,-0.999999
338,-0.999999
339,-0.999999
340,-0.999999
341,-0.999999
342,-0.999999
343,-0.999999
344,-0.999999
345,-0.999999
346,-0.999999
347,-0.999999
348,-0.999999
349,-0.999999
350,-0.999999
351,-0.999999
352,-0.999999
353,-0.999999
354,-0.999999
355,-0.999999
356,-0.999999
357,-0.999999
358,-0.999999
359,-0.999999
360,-0.999999
361,-0.999999
362,-0.999999
363,-0.999999
364,-0.999999
365,-0.999999
366,-0.999999
367,-0.999999
368,-0.999999
369,-0.999999
370,-0.999999
371,-0.999999
372,-0.999999
373,-0.999999
374,-0.999999
375,-0.999999
376,-0.999999
377,-0.999999
378,-0.999999
379,-0.999999
380,-0.999999
381,-0.999999
382,-0.999999
383,-0.999999
384,-0.999999
385,-0.999999
386,-0.999999
387,-0.999999
388,-0.999999
389,-0.999999
390,-0.999999
391,-0.999999
392,-0.999999
393,-0.999999
394,-0.999999
395,-0.999999
396,-0.999999
397,-0.999999
398,-0.999999
399,-0.999999
400,-0.999999
401,-0.999999
402,-0.999999
403,-0.999999
404,-0.999999
405,-0.999999
406,-0.999999
407,-0.999999
408,-0.999999
409,-0.999999
410,-0.999999
411,-0.999999
412,-0.999999
413,-0.999999
414,-0.999999
415,-0.999999
416,-0.999999
417,-0.999999
418,-0.999999
419,-0.999999
420,-0.999999
421,-0.999999
422,-0.999999
423,-0.999999
424,-0.999999
425,-0.999999
426,-0.999999
427,-0.999999
428,-0.999999
429,-0.999999
430,-0.999999
431,-0.999999
432,-0.999999
433,-0.999999
434,-0.999999
435,-0.999999
436,-0.999999
437,-0.999999
438,-0.999999
439,-0.999999
440,-0.999999
441,-0.999999
442,-0.999999
443,-0.999999
444,-0.999999
445,-0.999999
446,-0.999999
447,-0.999999
448,-0.999999
449,-0.999999
450,-0.999999
451,-0.999999
452,-0.999999
453,-0.999999
454,-0.999999
455,-0.999999
456,-0.999999
457,-0.999999
458,-0.999999
459,-0.999999
460,-0.999999
461,-0.999999
462,-0.999999
463,-0.999999
464,-0.999999
465,-0.999999
466,-0.999999
467,-0.999999
468,-0.999999
469,-0.999999
470,-0.999999
471,-0.999999
472,-0.999999
473,-0.999999
474,-0.999999
475,-0.999999
476,-0.999999
477,-0.999999
478,-0.999999
479,-0.999999
480,-0.999999
481,-0.999999
482,-0.999999
483,-0.999999
484,-0.999999
485,-0.999999
486,-0.999999
487,-0.999999
488,-0.999999
489,-0.999999
490,-0.999999
491,-0.999999
492,-0.999999
493,-0.999999
494,-0.999999
495,-0.999999
496,-0.999999
497,-0.999999
498,-0.999999
499,-0.999999
500,-0.999999
501,-0.999999
502,-0.999999
503,-0.999999
504,-0.999999
505,-0.999999
506,-0.999999
507,-0.999999
508,-0.999999
509,-0.999999
510,-0.999999
511,-0.999999
512,-0.999999
513,-0.999999
514,-0.999999
515,-0.999999
516,-0.999999
517,-0.999999
518,-0.999999
519,-0.999999
520,-0.999999
521,-0.999999
522,-0.999999
523,-0.999999
524,-0.999999
525,-0.999999
526,-0.999999
527,-0.999999
528,-0.999999
529,-0.999999
530,-0.999999
531,-0.999999
532,-0.999999
533,-0.999999
534,-0.999999
535,-0.999999
536,-0.999999
537,-0.999999
538,-0.999999
539,-0.999999
540,-0.999999
541,-0.999999
542,-0.999999
543,-0.999999
544,-0.999999
545,-0.999999
546,-0.999999
547,-0.999999
548,-0.999999
549,-0.999999
550,-0.999999
551,-0.999999
552,-0.999999
553,-0.999999
554,-0.999999
555,-0.999999
556,-0.999999
557,-0.999999
558,-0.999999
559,-0.999999
560,-0.999999
561,-0.999999
562,-0.999999
563,-0.999999
564,-0.999999
565,-0.999999
566,-0.999999
567,-0.999999
568,-0.999999
569,-0.999999
570,-0.999999
571,-1
572,-1
573,-1
574,-1
575,-1
576,-1
577,-1
578,-1
579,-1
580,-1
581,-1
582,-1
583,-1
584,-1
585,-1
586,-1
587,-1
588,-1
589,-1
590,-1
591,-1
592,-1
593,-1
594,-1
595,-1
596,-1
597,-1
598,-1
599,-1
600,-1
601,-1
602,-1
603,-1
604,-1
605,-1
606,-1
607,-1
608,-1
609,-1
610,-1
611,-1
612,-1
613,-1
614,-1
615,-1
616,-1
617,-1
618,-1
619,-1
620,-1
621,-1
622,-1
623,-1
624,-1
625,-1
626,-1
627,-1
628,-1
629,-1
630,-1
631,-1
632,-1
633,-1
634,-1
635,-1
636,-1
637,-1
638,-1
639,-1
640,-1
641,-1
642,-1
643,-1
644,-1
645,-1
646,-1
647,-1
648,-1
649,-1
650,-1
651,-1
652,-1
653,-1
654,-1
655,-1
656,-1
657,-1
658,-1
659,-1
660,-1
661,-1
662,-1
663,-1
664,-1
665,-1
666,-1
667,-1
668,-1
669,-1
670,-1
671,-1
672,-1
673,-1
674,-1
675,-1
676,-1
677,-1
678,-1
679,-1
680,-1
681,-1
682,-1
683,-1
684,-1
685,-1
686,-1
687,-1
688,-1
689,-1
690,-1
691,-1
692,-1
693,-1
694,-1
695,-1
696,-1
697,-1
698,-1
699,-1
700,-1
701,-1
702,-1
703,-1
704,-1
705,-1
706,-1
707,-1
708,-1
709,-1
710,-1
711,-1
712,-1
713,-1
714,-1
715,-1
716,-1
717,-1
718,-1
719,-1
720,-1
721,-1
722,-1
723,-1
724,-1
725,-1
726,-1
727,-1
728,-1
729,-1
730,-1
731,-1
732,-1
733,-1
734,-1
735,-1
736,-1
737,-1
738,-1
739,-1
740,-1
741,-1
742,-1
743,-1
744,-1
745,-1
746,-1
747,-1
748,-1
749,-1
750,-1
751,-1
752,-1
753,-1
754,-1
755,-1
756,-1
757,-1
758,-1
759,-1
760,-1
761,-1
762,-1
763,-1
764,-1
765,-1
766,-1
767,-1
768,-1
769,-1
770,-1
771,-1
772,-1
773,-1
774,-1
775,-1
776,-1
777,-1
778,-1
779,-1
780,-1
781,-1
782,-1
783,-1
784,-1
785,-1
786,-1
787,-1
788,-1
789,-1
790,-1
791,-1
792,-1
793,-1
794,-1
795,-1
796,-1
797,-1
798,-1
799,-1
800,-1
801,-1
802,-1
803,-1
804,-1
805,-1
806,-1
807,-1
808,-1
809,-1
810,-1
811,-1
812,-1
813,-1
814,-1
815,-1
816,-1
817,-1
818,-1
819,-1
820,-1
821,-1
822,-1
823,-1
824,-1
825,-1
826,-1
827,-1
828,-1
829,-1
830,-1
831,-1
832,-1
833,-1
834,-1
835,-1
836,-1
837,-1
838,-1
839,-1
840,-1
841,-1
842,-1
843,-1
844,-1
845,-1
846,-1
847,-1
848,-1
849,-1
850,-1
851,-1
852,-1
853,-1
854,-1
855,-1
856,-1
857,-1
858,-1
859,-1
860,-1
861,-1
862,-1
863,-1
864,-1
865,-1
866,-1
867,-1
868,-1
869,-1
870,-1
871,-1
872,-1
873,-1
874,-1
875,-1
876,-1
877,-1
878,-1
879,-1
880,-1
881,-1
882,-1
883,-1
884,-1
885,-1
886,-1
887,-1
888,-1
889,-1
890,-1
891,-1
892,-1
893,-1
894,-1
895,-1
896,-1
897,-1
898,-1
899,-1
900,-1
901,-1
902,-1
903,-1
904,-1
905,-1
906,-1
907,-1
908,-1
909,-1
910,-1
911,-1
912,-1
913,-1
914,-1
915,-1
916,-1
917,-1
918,-1
919,-1
920,-1
921,-1
922,-1
923,-1
924,-1
925,-1
926,-1
927,-1
928,-1
929,-1
930,-1
931,-1
932,-1
933,-1
934,-1
935,-1
936,-1
937,-1
938,-1
939,-1
940,-1
941,-1
942,-1
943,-1
944,-1
945,-1
946,-1
947,-1
948,-1
949,-1
950,-1
951,-1
952,-1
953,-1
954,-1
955,-1
956,-1
957,-1
958,-1
959,-1
960,-1
961,-1
962,-1
963,-1
964,-1
965,-1
966,-1
967,-1
968,-1
969,-1
970,-1
971,-1
972,-1
973,-1
974,-1
975,-1
976,-1
977,-1
978,-1
979,-1
980,-1
981,-1
982,-1
983,-1
984,-1
985,-1
986,-1
987,-1
988,-1
989,-1
990,-1
991,-1
992,-1
993,-1
994,-1
995,-1
996,-1
997,-1
998,-1
999,-1
